"Date","Province","Deaths"
2020-07-27,"KZN",623
2020-07-28,"KZN",685
2020-07-29,"KZN",712
2020-07-30,"KZN",767
2020-07-31,"KZN",803
2020-08-01,"KZN",844
2020-08-02,"KZN",875
2020-08-03,"KZN",887
2020-08-04,"KZN",976
2020-08-05,"KZN",1038
2020-03-27,"LP",0
2020-03-28,"LP",0
2020-03-30,"LP",0
2020-03-31,"LP",0
2020-04-03,"LP",0
2020-04-05,"LP",0
2020-04-06,"LP",0
2020-04-07,"LP",0
2020-04-08,"LP",0
2020-04-09,"LP",0
2020-04-10,"LP",0
2020-04-11,"LP",0
2020-04-12,"LP",0
2020-04-13,"LP",0
2020-04-14,"LP",0
2020-04-15,"LP",0
2020-04-16,"LP",1
2020-04-17,"LP",1
2020-04-18,"LP",1
2020-04-19,"LP",1
2020-04-20,"LP",1
2020-04-21,"LP",1
2020-04-22,"LP",1
2020-04-23,"LP",1
2020-04-24,"LP",1
2020-04-25,"LP",2
2020-04-26,"LP",2
2020-04-27,"LP",2
2020-04-28,"LP",2
2020-04-29,"LP",2
2020-04-30,"LP",2
2020-05-01,"LP",2
2020-05-02,"LP",2
2020-05-03,"LP",2
2020-05-04,"LP",2
2020-05-05,"LP",2
2020-05-06,"LP",3
2020-05-07,"LP",3
2020-05-08,"LP",3
2020-05-09,"LP",3
2020-05-10,"LP",3
2020-05-11,"LP",3
2020-05-12,"LP",3
2020-05-13,"LP",3
2020-05-14,"LP",3
2020-05-15,"LP",3
2020-05-16,"LP",3
2020-05-17,"LP",3
2020-05-18,"LP",3
2020-05-19,"LP",3
2020-05-20,"LP",3
2020-05-21,"LP",3
2020-05-22,"LP",3
2020-05-23,"LP",3
2020-05-24,"LP",3
2020-05-25,"LP",3
2020-05-26,"LP",3
2020-05-27,"LP",3
2020-05-28,"LP",3
2020-05-29,"LP",3
2020-05-30,"LP",3
2020-05-31,"LP",3
2020-06-01,"LP",3
2020-06-02,"LP",3
2020-06-03,"LP",3
2020-06-04,"LP",3
2020-06-05,"LP",3
2020-06-06,"LP",3
2020-06-07,"LP",3
2020-06-08,"LP",3
2020-06-09,"LP",3
2020-06-10,"LP",3
2020-06-11,"LP",3
2020-06-12,"LP",4
2020-06-13,"LP",4
2020-06-14,"LP",4
2020-06-15,"LP",4
2020-06-16,"LP",4
2020-06-17,"LP",4
2020-06-18,"LP",4
2020-06-19,"LP",4
2020-06-20,"LP",4
2020-06-21,"LP",4
2020-06-22,"LP",5
2020-06-23,"LP",5
2020-06-24,"LP",5
2020-06-25,"LP",5
2020-06-26,"LP",5
2020-06-27,"LP",5
2020-06-28,"LP",5
2020-06-29,"LP",10
2020-06-30,"LP",10
2020-07-01,"LP",10
2020-07-02,"LP",10
2020-07-03,"LP",10
2020-07-04,"LP",10
2020-07-05,"LP",10
2020-07-06,"LP",27
2020-07-07,"LP",33
2020-07-08,"LP",33
2020-07-09,"LP",33
2020-07-10,"LP",33
2020-07-11,"LP",33
2020-07-12,"LP",33
2020-07-13,"LP",33
2020-07-14,"LP",33
2020-07-15,"LP",33
2020-07-16,"LP",33
2020-07-17,"LP",33
2020-07-18,"LP",33
2020-07-19,"LP",33
2020-07-20,"LP",33
2020-07-21,"LP",33
2020-07-22,"LP",33
2020-07-23,"LP",33
2020-07-24,"LP",33
2020-07-25,"LP",33
2020-07-26,"LP",67
2020-07-27,"LP",67
2020-07-28,"LP",67
2020-07-29,"LP",67
2020-07-30,"LP",67
2020-07-31,"LP",67
2020-08-01,"LP",67
2020-08-02,"LP",90
2020-08-03,"LP",90
2020-08-04,"LP",90
2020-08-05,"LP",90
2020-03-27,"MP",0
2020-03-28,"MP",0
2020-03-30,"MP",0
2020-03-31,"MP",0
2020-04-03,"MP",0
2020-04-05,"MP",0
2020-04-06,"MP",0
2020-04-07,"MP",0
2020-04-08,"MP",0
2020-04-09,"MP",0
2020-04-10,"MP",0
2020-04-11,"MP",0
2020-04-12,"MP",0
2020-04-13,"MP",0
2020-04-14,"MP",0
2020-04-15,"MP",0
2020-04-16,"MP",0
2020-04-17,"MP",0
2020-04-18,"MP",0
2020-04-19,"MP",0
2020-04-20,"MP",0
2020-04-21,"MP",0
2020-04-22,"MP",0
2020-04-23,"MP",0
2020-04-24,"MP",0
2020-04-25,"MP",0
2020-04-26,"MP",0
2020-04-27,"MP",0
2020-04-28,"MP",0
2020-04-29,"MP",0
2020-04-30,"MP",0
2020-05-01,"MP",0
2020-05-02,"MP",0
2020-05-03,"MP",0
2020-05-04,"MP",0
2020-05-05,"MP",0
2020-05-06,"MP",0
2020-05-07,"MP",0
2020-05-08,"MP",0
2020-05-09,"MP",0
2020-05-10,"MP",0
2020-05-11,"MP",0
2020-05-12,"MP",0
2020-05-13,"MP",0
2020-05-14,"MP",0
2020-05-15,"MP",0
2020-05-16,"MP",0
2020-05-17,"MP",0
2020-05-18,"MP",0
2020-05-19,"MP",0
2020-05-20,"MP",0
2020-05-21,"MP",0
2020-05-22,"MP",0
2020-05-23,"MP",0
2020-05-24,"MP",0
2020-05-25,"MP",0
2020-05-26,"MP",0
2020-05-27,"MP",0
2020-05-28,"MP",0
2020-05-29,"MP",0
2020-05-30,"MP",0
2020-05-31,"MP",0
2020-06-01,"MP",0
2020-06-02,"MP",0
2020-06-03,"MP",0
2020-06-04,"MP",0
2020-06-05,"MP",0
2020-06-06,"MP",0
2020-06-07,"MP",1
2020-06-08,"MP",1
2020-06-09,"MP",1
2020-06-10,"MP",1
2020-06-11,"MP",1
2020-06-12,"MP",1
2020-06-13,"MP",1
2020-06-14,"MP",1
2020-06-15,"MP",1
2020-06-16,"MP",1
2020-06-17,"MP",1
2020-06-18,"MP",1
2020-06-19,"MP",1
2020-06-20,"MP",1
2020-06-21,"MP",1
2020-06-22,"MP",1
2020-06-23,"MP",2
2020-06-24,"MP",2
2020-06-25,"MP",2
2020-06-26,"MP",2
2020-06-27,"MP",2
2020-06-28,"MP",2
2020-06-29,"MP",3
2020-06-30,"MP",7
2020-07-01,"MP",7
2020-07-02,"MP",7
2020-07-03,"MP",7
2020-07-04,"MP",7
2020-07-05,"MP",7
2020-07-06,"MP",7
2020-07-07,"MP",7
2020-07-08,"MP",22
2020-07-09,"MP",22
2020-07-10,"MP",22
2020-07-11,"MP",22
2020-07-12,"MP",22
2020-07-13,"MP",33
2020-07-14,"MP",33
2020-07-15,"MP",33
2020-07-16,"MP",40
2020-07-17,"MP",44
2020-07-18,"MP",44
2020-07-19,"MP",44
2020-07-20,"MP",52
2020-07-21,"MP",52
2020-07-22,"MP",52
2020-07-23,"MP",52
2020-07-24,"MP",52
2020-07-25,"MP",52
2020-07-26,"MP",52
2020-07-27,"MP",65
2020-07-28,"MP",65
2020-07-29,"MP",65
2020-07-30,"MP",65
2020-07-31,"MP",78
2020-08-01,"MP",78
2020-08-02,"MP",78
2020-08-03,"MP",123
2020-08-04,"MP",123
2020-08-05,"MP",139
2020-03-27,"NC",0
2020-03-28,"NC",0
2020-03-30,"NC",0
2020-03-31,"NC",0
2020-04-03,"NC",0
2020-04-05,"NC",0
2020-04-06,"NC",0
2020-04-07,"NC",0
2020-04-08,"NC",0
2020-04-09,"NC",0
2020-04-10,"NC",0
